

Branch Name            | Type | Description                                                                                                              | Source File         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Gen_tsIdx              |  I   | Idx to last copy of taustar in GenPart                                                                                   | GenProducer.py      
Gen_tsTauIdx           |  I   | Idx to the last copy of the tau decay product of the taustar in GenPart                                                  | GenProducer.py      
Gen_tsTauDM            |  I   | Decay mode of the ts tau:  0=had, 1=e, 2=muon                                                                            | GenProducer.py      
Gen_tauIdx             |  I   | Idx to the last copy of the spectator tau produced alongside the taustar in GenPart                                      | GenProducer.py      
Gen_tauDM              |  I   | Decay mode of the spectator tau:  0=had, 1=e, 2=muon                                                                     | GenProducer.py      
Gen_tsTau_visInvDR     |  F   | DeltaR between the visible & invisible components of the tau from the taustar                                            | GenProducer.py      
Gen_tau_visInvDR       |  F   | DeltaR between the visible & invisible components of the spectator tau                                                   | GenProducer.py      
Gen_tsTauFid           |  O   | True if the tsTau passes fiducial cuts                                                                                   | GenProducer.py      
Gen_tauFid             |  O   | True if the tau passes fiducial cuts                                                                                     | GenProducer.py      
Gen_zIdx               |  I   | Idx to the last copy of the Z from the taustar decay in GenPart                                                          | GenProducer.py      
Gen_zDau1Idx           |  I   | Idx to the first daughter of the Z at zIdx in GenPart                                                                    | GenProducer.py      
Gen_zDau2Idx           |  I   | Idx to the second daughter of the Z at zIdx in GenPart                                                                   | GenProducer.py      
Gen_zDauFid            |  O   | True if the (gen) Z daughters pass the appropriate fiducial cuts                                                         | GenProducer.py      
Gen_zD1RecIdx          |  I   | The idx of the matching Electron/Muon matching to the zDau1Idx GenPart if zDM==1/2                                       | GenProducer.py      
Gen_zD2RecIdx          |  I   | The idx of the matching Electron/Muon matching to the zDau2Idx GenPart if zDM==1/2                                       | GenProducer.py      
Gen_zDM                |  I   | 0 = hadronic, 1=electrons, 2=muons, 3=taus, 4=invisible                                                                  | GenProducer.py      
Gen_zGenAK8Idx         |  I   | Idx to GenJetAK8 collection of a possible jet matching the Z from taustar                                                | GenProducer.py      
Gen_zGenAK4Idx         |  I   | Idx to GenJet collection of a possible jet matching the Z from the taustar                                               | GenProducer.py      
